trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.4, 'e': 0.011824783294114963}",25,17,15.396151492896493,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.011233544129409214}",20,10,21.454223891501034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.010671866922938754}",20,2,26.66316437221365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.010138273576791815}",20,10,3.711944935871003,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.009631359897952224}",25,7,32.54864159011841,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.009149791903054613}",20,9,20.38049195223948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.008692302307901882}",25,15,20.446018307513985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.008257687192506788}",20,12,14.652692416768385,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.007844802832881448}",25,14,21.481033500214327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.007452562691237375}",25,15,18.967281812456473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.007079934556675506}",20,14,14.435505091354306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.00672593782884173}",20,13,15.722363621755468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.006389640937399643}",20,6,24.38457849502154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.006070158890529661}",20,9,23.47165210361735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.005766650946003178}",25,8,29.076036260789643,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.005478318398703019}",25,11,22.171854390708724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.005204402478767868}",25,17,13.736673578843224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.004944182354829474}",30,10,35.03305782106149,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
